incidnt_num,date,cleaned_date,cleaned_time,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,"SELECT incidnt_num,"
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,"       date,"
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,"       LEFT(date, 10) AS cleaned_date,"
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,"       RIGHT(date, 17) AS cleaned_time"
1.46E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,  FROM tutorial.sf_crime_incidents_2014_01
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.46E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.46E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.46E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.46E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.46E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.46E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.46E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.46E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.46E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.46E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.46E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
